column_name, num_levels, data_type
city, 4524, character
zip, 8381, factor
ibe1270_Personicx_Classic_Lifestage_Cluster_Code_Cluster, 71, integer
ibe1273_Population_Density_Refresh_IBE_Model_PersonicxPopulationDensity_2, 13, integer
ibe2360_2360, 180, factor
ibe2716_2716, 21, integer
ibe2717_2717, 21, integer
ibe2718_2718, 21, integer
ibe2719_2719, 21, integer
ibe2720_2720, 21, integer
ibe2721_2721, 21, integer
ibe2722_2722, 21, integer
ibe2723_2723, 21, integer
ibe2724_2724, 21, integer
ibe2725_2725, 21, integer 
ibe2726_2726, 21, integer
ibe2727_2727, 21, integer
ibe2779_2779, 11, integer
ibe2780_2780, 11, integer
ibe2781_2781, 11, integer
ibe2834_2834, 11, integer
ibe3587_3587, 11, integer
ibe3588_3588, 11, integer
ibe3589_3589, 11, integer
ibe3590_3590, 11, integer
ibe3591_3591, 11, integer
ibe3592_3592, 11, integer
ibe3593_3593, 11, integer
ibe3594_3594, 11, integer
ibe3595_3595, 11, integer
ibe7602_Children_Number_in_Household_Premier_COMPLETE_Children, 8, integer
ibe7607_Home_Length_of_Residence_TO_100PCT_LOR, 17, integer
ibe7628_Adults_Number_in_Household_Premier_COMPLETE_Adults, 7, integer
ibe7629_Household_Size_Premier_COMPLETE_Size, 10, integer
ibe7641_Income_Code_Estimated_Household_Premier_COMPLETE_Income, 10, integer
ibe8607_8607, 17, integer
ibe8463_8463, 11, integer
ibe8479_8479, 10, integer
ibe8592_8592, 159, integer
ibe8616_8616, 43, integer
ibe8617_8617, 43, integer
ibe8626_8626, 43, integer
ibe8628_8628, 7, integer
ibe8637_8637, 27, factor
ibe8640_8640, 61, integer
ibe8652_8652, 4, integer
ibe8816_8816, 10, integer
ibe9150_IBE_Premier_CreditCardFrequencyofPurchases_Purchase_4_TO_6_Months, 5, integer
ibe9150_IBE_Premier_CreditCardFrequencyofPurchases_Purchase_7_TO_9_Months, 6, integer
ibe9150_IBE_Premier_CreditCardFrequencyofPurchases_Purchase_10_TO_12_Months, 6, integer
ibe9150_IBE_Premier_CreditCardFrequencyofPurchases_Purchase_13_TO_18_Months, 7, integer
ibe9150_IBE_Premier_CreditCardFrequencyofPurchases_Purchase_19_TO_24_Months, 6, integer
ibe9150_IBE_Premier_CreditCardFrequencyofPurchases_Purchase_24_PLUS_Months, 7, integer
ibe9350_9350, 31, integer
ibe9351_9351, 21, integer
AP001286_Total_Liquid_Investible_Assets_Fin_AP001286_dollar, 11343, numeric
AP001287_Retirement_Assets_Fin_AP001287_dollar, 7801, numeric
Technographic_Segment_Propensity_techno_guess, 10, integer
AQ_003, 6557, numeric
